Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
Calderdale,E08000033,Upper tier local authority,03/04/2020,12,86
Bury,E08000002,Upper tier local authority,03/04/2020,18,142
Buckinghamshire,E10000002,Upper tier local authority,03/04/2020,24,322
Bromley,E09000006,Upper tier local authority,03/04/2020,30,528
Bristol City of,E06000023,Upper tier local authority,03/04/2020,20,203
Brighton and Hove,E06000043,Upper tier local authority,03/04/2020,11,136
Brent,E09000005,Upper tier local authority,03/04/2020,56,758
Bradford,E08000032,Upper tier local authority,03/04/2020,24,214
Bracknell Forest,E06000036,Upper tier local authority,03/04/2020,10,69
Bournemouth Christchurch and Poole,E06000058,Upper tier local authority,03/04/2020,11,115
Bolton,E08000001,Upper tier local authority,03/04/2020,35,179
Blackpool,E06000009,Upper tier local authority,03/04/2020,8,75
Blackburn with Darwen,E06000008,Upper tier local authority,03/04/2020,9,75
Birmingham,E08000025,Upper tier local authority,03/04/2020,80,1353
Bexley,E09000004,Upper tier local authority,03/04/2020,25,272
Bedford,E06000055,Upper tier local authority,03/04/2020,19,132
Bath and North East Somerset,E06000022,Upper tier local authority,03/04/2020,4,65
Barnsley,E08000016,Upper tier local authority,03/04/2020,9,228
Barnet,E09000003,Upper tier local authority,03/04/2020,37,689
Barking and Dagenham,E09000002,Upper tier local authority,03/04/2020,15,222
Yorkshire and The Humber,E12000003,Region,03/04/2020,293,3162
West Midlands,E12000005,Region,03/04/2020,372,5077
South West,E12000009,Region,03/04/2020,186,1936
South East,E12000008,Region,03/04/2020,509,5808
North West,E12000002,Region,03/04/2020,681,5912
North East,E12000001,Region,03/04/2020,258,1954
London,E12000007,Region,03/04/2020,936,13017
East of England,E12000006,Region,03/04/2020,345,3657
East Midlands,E12000004,Region,03/04/2020,258,2763
England,E92000001,Nation,03/04/2020,4032,44778
York,E06000014,Upper tier local authority,02/04/2020,11,62
Worcestershire,E10000034,Upper tier local authority,02/04/2020,31,386
Wolverhampton,E08000031,Upper tier local authority,02/04/2020,17,296
Wokingham,E06000041,Upper tier local authority,02/04/2020,2,102
Wirral,E08000015,Upper tier local authority,02/04/2020,52,209
Windsor and Maidenhead,E06000040,Upper tier local authority,02/04/2020,4,103
Wiltshire,E06000054,Upper tier local authority,02/04/2020,10,138
Wigan,E08000010,Upper tier local authority,02/04/2020,24,160
Westminster,E09000033,Upper tier local authority,02/04/2020,17,360
West Sussex,E10000032,Upper tier local authority,02/04/2020,21,314
West Berkshire,E06000037,Upper tier local authority,02/04/2020,5,92
Warwickshire,E10000031,Upper tier local authority,02/04/2020,51,387
Warrington,E06000007,Upper tier local authority,02/04/2020,25,129
Wandsworth,E09000032,Upper tier local authority,02/04/2020,38,531
Waltham Forest,E09000031,Upper tier local authority,02/04/2020,27,344
Walsall,E08000030,Upper tier local authority,02/04/2020,48,357
Wakefield,E08000036,Upper tier local authority,02/04/2020,17,150
Trafford,E08000009,Upper tier local authority,02/04/2020,27,201
Tower Hamlets,E09000030,Upper tier local authority,02/04/2020,26,311
Torbay,E06000027,Upper tier local authority,02/04/2020,2,54
Thurrock,E06000034,Upper tier local authority,02/04/2020,17,120
Telford and Wrekin,E06000020,Upper tier local authority,02/04/2020,7,78
Tameside,E08000008,Upper tier local authority,02/04/2020,18,149
Swindon,E06000030,Upper tier local authority,02/04/2020,12,66
Sutton,E09000029,Upper tier local authority,02/04/2020,29,277
Surrey,E10000030,Upper tier local authority,02/04/2020,70,921
Sunderland,E08000024,Upper tier local authority,02/04/2020,37,243
Suffolk,E10000029,Upper tier local authority,02/04/2020,20,239
Stoke-on-Trent,E06000021,Upper tier local authority,02/04/2020,9,97
Stockton-on-Tees,E06000004,Upper tier local authority,02/04/2020,13,97
Stockport,E08000007,Upper tier local authority,02/04/2020,28,221
Staffordshire,E10000028,Upper tier local authority,02/04/2020,58,531
St. Helens,E08000013,Upper tier local authority,02/04/2020,26,191
Southwark,E09000028,Upper tier local authority,02/04/2020,40,641
Southend-on-Sea,E06000033,Upper tier local authority,02/04/2020,14,117
Southampton,E06000045,Upper tier local authority,02/04/2020,17,157
South Tyneside,E08000023,Upper tier local authority,02/04/2020,13,82
South Gloucestershire,E06000025,Upper tier local authority,02/04/2020,9,117
Somerset,E10000027,Upper tier local authority,02/04/2020,19,105
Solihull,E08000029,Upper tier local authority,02/04/2020,25,208
Slough,E06000039,Upper tier local authority,02/04/2020,3,143
Shropshire,E06000051,Upper tier local authority,02/04/2020,8,146
Sheffield,E08000019,Upper tier local authority,02/04/2020,53,882
Sefton,E08000014,Upper tier local authority,02/04/2020,32,216
Sandwell,E08000028,Upper tier local authority,02/04/2020,37,346
Salford,E08000006,Upper tier local authority,02/04/2020,21,230
Rotherham,E08000018,Upper tier local authority,02/04/2020,15,221
Rochdale,E08000005,Upper tier local authority,02/04/2020,9,152
Richmond upon Thames,E09000027,Upper tier local authority,02/04/2020,8,199
Redcar and Cleveland,E06000003,Upper tier local authority,02/04/2020,7,81
Redbridge,E09000026,Upper tier local authority,02/04/2020,28,291
Reading,E06000038,Upper tier local authority,02/04/2020,8,104
Portsmouth,E06000044,Upper tier local authority,02/04/2020,5,96
Plymouth,E06000026,Upper tier local authority,02/04/2020,12,78
Peterborough,E06000031,Upper tier local authority,02/04/2020,5,61
Oxfordshire,E10000025,Upper tier local authority,02/04/2020,70,442
Oldham,E08000004,Upper tier local authority,02/04/2020,23,196
Nottinghamshire,E10000024,Upper tier local authority,02/04/2020,40,408
Nottingham,E06000018,Upper tier local authority,02/04/2020,20,169
Northumberland,E06000057,Upper tier local authority,02/04/2020,24,159
Northamptonshire,E10000021,Upper tier local authority,02/04/2020,51,417
North Yorkshire,E10000023,Upper tier local authority,02/04/2020,19,235
North Tyneside,E08000022,Upper tier local authority,02/04/2020,14,143
North Somerset,E06000024,Upper tier local authority,02/04/2020,6,69
North Lincolnshire,E06000013,Upper tier local authority,02/04/2020,4,46
North East Lincolnshire,E06000012,Upper tier local authority,02/04/2020,1,37
Norfolk,E10000020,Upper tier local authority,02/04/2020,27,279
Newham,E09000025,Upper tier local authority,02/04/2020,34,444
Newcastle upon Tyne,E08000021,Upper tier local authority,02/04/2020,31,312
Milton Keynes,E06000042,Upper tier local authority,02/04/2020,12,175
Middlesbrough,E06000002,Upper tier local authority,02/04/2020,13,123
Merton,E09000024,Upper tier local authority,02/04/2020,33,335
Medway,E06000035,Upper tier local authority,02/04/2020,24,193
Manchester,E08000003,Upper tier local authority,02/04/2020,34,290
Luton,E06000032,Upper tier local authority,02/04/2020,23,191
Liverpool,E08000012,Upper tier local authority,02/04/2020,56,449
Lincolnshire,E10000019,Upper tier local authority,02/04/2020,14,244
Lewisham,E09000023,Upper tier local authority,02/04/2020,53,446
Leicestershire,E10000018,Upper tier local authority,02/04/2020,19,316
Leicester,E06000016,Upper tier local authority,02/04/2020,24,191
Leeds,E08000035,Upper tier local authority,02/04/2020,30,298
Lancashire,E10000017,Upper tier local authority,02/04/2020,94,752
Lambeth,E09000022,Upper tier local authority,02/04/2020,41,639
Knowsley,E08000011,Upper tier local authority,02/04/2020,22,137
Kirklees,E08000034,Upper tier local authority,02/04/2020,22,173
Kingston upon Thames,E09000021,Upper tier local authority,02/04/2020,16,176
Kingston upon Hull City of,E06000010,Upper tier local authority,02/04/2020,8,34
Kent,E10000016,Upper tier local authority,02/04/2020,82,830
Kensington and Chelsea,E09000020,Upper tier local authority,02/04/2020,20,263
Islington,E09000019,Upper tier local authority,02/04/2020,22,249
Isle of Wight,E06000046,Upper tier local authority,02/04/2020,1,27
Hounslow,E09000018,Upper tier local authority,02/04/2020,33,320
Hillingdon,E09000017,Upper tier local authority,02/04/2020,17,314
Hertfordshire,E10000015,Upper tier local authority,02/04/2020,102,890
Herefordshire County of,E06000019,Upper tier local authority,02/04/2020,4,59
Havering,E09000016,Upper tier local authority,02/04/2020,30,235
Hartlepool,E06000001,Upper tier local authority,02/04/2020,2,25
Harrow,E09000015,Upper tier local authority,02/04/2020,31,449
Haringey,E09000014,Upper tier local authority,02/04/2020,27,286
Hampshire,E10000014,Upper tier local authority,02/04/2020,87,936
Hammersmith and Fulham,E09000013,Upper tier local authority,02/04/2020,22,260
Halton,E06000006,Upper tier local authority,02/04/2020,14,79
Hackney,E09000012,Upper tier local authority,02/04/2020,38,323
Greenwich,E09000011,Upper tier local authority,02/04/2020,23,303
Gloucestershire,E10000013,Upper tier local authority,02/04/2020,31,305
Gateshead,E08000037,Upper tier local authority,02/04/2020,23,158
Essex,E10000012,Upper tier local authority,02/04/2020,100,907
Enfield,E09000010,Upper tier local authority,02/04/2020,26,342
East Sussex,E10000011,Upper tier local authority,02/04/2020,17,182
East Riding of Yorkshire,E06000011,Upper tier local authority,02/04/2020,7,93
Ealing,E09000009,Upper tier local authority,02/04/2020,41,488
Dudley,E08000027,Upper tier local authority,02/04/2020,30,286
Dorset,E06000059,Upper tier local authority,02/04/2020,10,107
Doncaster,E08000017,Upper tier local authority,02/04/2020,11,155
Devon,E10000008,Upper tier local authority,02/04/2020,23,199
Derbyshire,E10000007,Upper tier local authority,02/04/2020,26,495
Derby,E06000015,Upper tier local authority,02/04/2020,19,259
Darlington,E06000005,Upper tier local authority,02/04/2020,5,37
Cumbria,E10000006,Upper tier local authority,02/04/2020,67,699
Croydon,E09000008,Upper tier local authority,02/04/2020,80,649
Coventry,E08000026,Upper tier local authority,02/04/2020,20,255
County Durham,E06000047,Upper tier local authority,02/04/2020,36,236
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,02/04/2020,17,164
Cheshire West and Chester,E06000050,Upper tier local authority,02/04/2020,26,183
Cheshire East,E06000049,Upper tier local authority,02/04/2020,28,187
Central Bedfordshire,E06000056,Upper tier local authority,02/04/2020,23,159
Camden,E09000007,Upper tier local authority,02/04/2020,25,289
Cambridgeshire,E10000003,Upper tier local authority,02/04/2020,22,236
Calderdale,E08000033,Upper tier local authority,02/04/2020,11,74
Bury,E08000002,Upper tier local authority,02/04/2020,8,124
Buckinghamshire,E10000002,Upper tier local authority,02/04/2020,32,298
Bromley,E09000006,Upper tier local authority,02/04/2020,37,498
Bristol City of,E06000023,Upper tier local authority,02/04/2020,15,183
Brighton and Hove,E06000043,Upper tier local authority,02/04/2020,12,125
Brent,E09000005,Upper tier local authority,02/04/2020,58,702
Bradford,E08000032,Upper tier local authority,02/04/2020,19,190
Bracknell Forest,E06000036,Upper tier local authority,02/04/2020,3,59
Bournemouth Christchurch and Poole,E06000058,Upper tier local authority,02/04/2020,12,104
Bolton,E08000001,Upper tier local authority,02/04/2020,17,144
Blackpool,E06000009,Upper tier local authority,02/04/2020,18,67
Blackburn with Darwen,E06000008,Upper tier local authority,02/04/2020,12,66
Birmingham,E08000025,Upper tier local authority,02/04/2020,102,1273
Bexley,E09000004,Upper tier local authority,02/04/2020,17,247
Bedford,E06000055,Upper tier local authority,02/04/2020,12,113
Bath and North East Somerset,E06000022,Upper tier local authority,02/04/2020,4,61
Barnsley,E08000016,Upper tier local authority,02/04/2020,14,219
Barnet,E09000003,Upper tier local authority,02/04/2020,65,652
Barking and Dagenham,E09000002,Upper tier local authority,02/04/2020,22,207
Yorkshire and The Humber,E12000003,Region,02/04/2020,242,2869
West Midlands,E12000005,Region,02/04/2020,447,4705
South West,E12000009,Region,02/04/2020,182,1750
South East,E12000008,Region,02/04/2020,475,5299
North West,E12000002,Region,02/04/2020,681,5231
North East,E12000001,Region,02/04/2020,218,1696
London,E12000007,Region,02/04/2020,1024,12081
East of England,E12000006,Region,02/04/2020,365,3312
East Midlands,E12000004,Region,02/04/2020,213,2505
England,E92000001,Nation,02/04/2020,4008,40746
York,E06000014,Upper tier local authority,01/04/2020,12,51
Worcestershire,E10000034,Upper tier local authority,01/04/2020,34,355
Wolverhampton,E08000031,Upper tier local authority,01/04/2020,19,279
Wokingham,E06000041,Upper tier local authority,01/04/2020,14,100
Wirral,E08000015,Upper tier local authority,01/04/2020,18,157
Windsor and Maidenhead,E06000040,Upper tier local authority,01/04/2020,9,99
Wiltshire,E06000054,Upper tier local authority,01/04/2020,10,128
Wigan,E08000010,Upper tier local authority,01/04/2020,13,136
Westminster,E09000033,Upper tier local authority,01/04/2020,18,343
West Sussex,E10000032,Upper tier local authority,01/04/2020,25,293
West Berkshire,E06000037,Upper tier local authority,01/04/2020,14,87
Warwickshire,E10000031,Upper tier local authority,01/04/2020,29,336
Warrington,E06000007,Upper tier local authority,01/04/2020,17,104
Wandsworth,E09000032,Upper tier local authority,01/04/2020,37,493
Waltham Forest,E09000031,Upper tier local authority,01/04/2020,25,317
Walsall,E08000030,Upper tier local authority,01/04/2020,36,309
Wakefield,E08000036,Upper tier local authority,01/04/2020,17,133
Trafford,E08000009,Upper tier local authority,01/04/2020,28,174
Tower Hamlets,E09000030,Upper tier local authority,01/04/2020,24,285
Torbay,E06000027,Upper tier local authority,01/04/2020,3,52
Thurrock,E06000034,Upper tier local authority,01/04/2020,10,103
Telford and Wrekin,E06000020,Upper tier local authority,01/04/2020,4,71
Tameside,E08000008,Upper tier local authority,01/04/2020,15,131
Swindon,E06000030,Upper tier local authority,01/04/2020,8,54
Sutton,E09000029,Upper tier local authority,01/04/2020,37,248
Surrey,E10000030,Upper tier local authority,01/04/2020,92,851
Sunderland,E08000024,Upper tier local authority,01/04/2020,43,206
Suffolk,E10000029,Upper tier local authority,01/04/2020,29,219
Stoke-on-Trent,E06000021,Upper tier local authority,01/04/2020,17,88
Stockton-on-Tees,E06000004,Upper tier local authority,01/04/2020,12,84
Stockport,E08000007,Upper tier local authority,01/04/2020,33,193
Staffordshire,E10000028,Upper tier local authority,01/04/2020,54,473
St. Helens,E08000013,Upper tier local authority,01/04/2020,28,165
Southwark,E09000028,Upper tier local authority,01/04/2020,56,601
Southend-on-Sea,E06000033,Upper tier local authority,01/04/2020,16,103
Southampton,E06000045,Upper tier local authority,01/04/2020,14,140
South Tyneside,E08000023,Upper tier local authority,01/04/2020,9,69
South Gloucestershire,E06000025,Upper tier local authority,01/04/2020,6,108
Somerset,E10000027,Upper tier local authority,01/04/2020,8,86
Solihull,E08000029,Upper tier local authority,01/04/2020,15,183
Slough,E06000039,Upper tier local authority,01/04/2020,11,140
Shropshire,E06000051,Upper tier local authority,01/04/2020,13,138
Sheffield,E08000019,Upper tier local authority,01/04/2020,63,829
Sefton,E08000014,Upper tier local authority,01/04/2020,28,184
Sandwell,E08000028,Upper tier local authority,01/04/2020,30,309
Salford,E08000006,Upper tier local authority,01/04/2020,18,209
Rotherham,E08000018,Upper tier local authority,01/04/2020,22,206
Rochdale,E08000005,Upper tier local authority,01/04/2020,16,143
Richmond upon Thames,E09000027,Upper tier local authority,01/04/2020,15,191
Redcar and Cleveland,E06000003,Upper tier local authority,01/04/2020,11,74
Redbridge,E09000026,Upper tier local authority,01/04/2020,22,263
Reading,E06000038,Upper tier local authority,01/04/2020,14,96
Portsmouth,E06000044,Upper tier local authority,01/04/2020,6,91
Plymouth,E06000026,Upper tier local authority,01/04/2020,8,66
Peterborough,E06000031,Upper tier local authority,01/04/2020,6,56
Oxfordshire,E10000025,Upper tier local authority,01/04/2020,42,372
Oldham,E08000004,Upper tier local authority,01/04/2020,22,173
Nottinghamshire,E10000024,Upper tier local authority,01/04/2020,34,368
Nottingham,E06000018,Upper tier local authority,01/04/2020,16,149
Northumberland,E06000057,Upper tier local authority,01/04/2020,40,135
Northamptonshire,E10000021,Upper tier local authority,01/04/2020,54,366
North Yorkshire,E10000023,Upper tier local authority,01/04/2020,32,216
North Tyneside,E08000022,Upper tier local authority,01/04/2020,35,129
North Somerset,E06000024,Upper tier local authority,01/04/2020,8,63
North Lincolnshire,E06000013,Upper tier local authority,01/04/2020,8,42
North East Lincolnshire,E06000012,Upper tier local authority,01/04/2020,5,36
Norfolk,E10000020,Upper tier local authority,01/04/2020,22,252
Newham,E09000025,Upper tier local authority,01/04/2020,40,410
Newcastle upon Tyne,E08000021,Upper tier local authority,01/04/2020,41,281
Milton Keynes,E06000042,Upper tier local authority,01/04/2020,14,163
Middlesbrough,E06000002,Upper tier local authority,01/04/2020,23,110
Merton,E09000024,Upper tier local authority,01/04/2020,27,302
Medway,E06000035,Upper tier local authority,01/04/2020,33,169
Manchester,E08000003,Upper tier local authority,01/04/2020,28,256
Luton,E06000032,Upper tier local authority,01/04/2020,17,168
Liverpool,E08000012,Upper tier local authority,01/04/2020,46,393
Lincolnshire,E10000019,Upper tier local authority,01/04/2020,33,230
Lewisham,E09000023,Upper tier local authority,01/04/2020,35,393
Leicestershire,E10000018,Upper tier local authority,01/04/2020,45,297
Leicester,E06000016,Upper tier local authority,01/04/2020,33,167
Leeds,E08000035,Upper tier local authority,01/04/2020,31,268
Lancashire,E10000017,Upper tier local authority,01/04/2020,91,658
Lambeth,E09000022,Upper tier local authority,01/04/2020,49,598
Knowsley,E08000011,Upper tier local authority,01/04/2020,18,115
Kirklees,E08000034,Upper tier local authority,01/04/2020,24,151
Kingston upon Thames,E09000021,Upper tier local authority,01/04/2020,9,160
Kingston upon Hull City of,E06000010,Upper tier local authority,01/04/2020,5,26
Kent,E10000016,Upper tier local authority,01/04/2020,111,748
Kensington and Chelsea,E09000020,Upper tier local authority,01/04/2020,16,243
Islington,E09000019,Upper tier local authority,01/04/2020,17,227
Isle of Wight,E06000046,Upper tier local authority,01/04/2020,7,26
Hounslow,E09000018,Upper tier local authority,01/04/2020,32,287
Hillingdon,E09000017,Upper tier local authority,01/04/2020,22,297
Hertfordshire,E10000015,Upper tier local authority,01/04/2020,83,788
Herefordshire County of,E06000019,Upper tier local authority,01/04/2020,6,55
Havering,E09000016,Upper tier local authority,01/04/2020,29,205
Hartlepool,E06000001,Upper tier local authority,01/04/2020,3,23
Harrow,E09000015,Upper tier local authority,01/04/2020,23,418
Haringey,E09000014,Upper tier local authority,01/04/2020,22,259
Hampshire,E10000014,Upper tier local authority,01/04/2020,71,849
Hammersmith and Fulham,E09000013,Upper tier local authority,01/04/2020,26,238
Halton,E06000006,Upper tier local authority,01/04/2020,8,65
Hackney,E09000012,Upper tier local authority,01/04/2020,32,285
Greenwich,E09000011,Upper tier local authority,01/04/2020,29,280
Gloucestershire,E10000013,Upper tier local authority,01/04/2020,34,274
Gateshead,E08000037,Upper tier local authority,01/04/2020,33,135
Essex,E10000012,Upper tier local authority,01/04/2020,109,807
Enfield,E09000010,Upper tier local authority,01/04/2020,27,316
East Sussex,E10000011,Upper tier local authority,01/04/2020,21,165
East Riding of Yorkshire,E06000011,Upper tier local authority,01/04/2020,9,86
Ealing,E09000009,Upper tier local authority,01/04/2020,26,447
Dudley,E08000027,Upper tier local authority,01/04/2020,18,256
Dorset,E06000059,Upper tier local authority,01/04/2020,15,97
Doncaster,E08000017,Upper tier local authority,01/04/2020,17,144
Devon,E10000008,Upper tier local authority,01/04/2020,25,176
Derbyshire,E10000007,Upper tier local authority,01/04/2020,51,469
Derby,E06000015,Upper tier local authority,01/04/2020,30,240
Darlington,E06000005,Upper tier local authority,01/04/2020,4,32
Cumbria,E10000006,Upper tier local authority,01/04/2020,74,632
Croydon,E09000008,Upper tier local authority,01/04/2020,55,569
Coventry,E08000026,Upper tier local authority,01/04/2020,28,235
County Durham,E06000047,Upper tier local authority,01/04/2020,52,200
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,01/04/2020,21,147
Cheshire West and Chester,E06000050,Upper tier local authority,01/04/2020,29,157
Cheshire East,E06000049,Upper tier local authority,01/04/2020,31,159
Central Bedfordshire,E06000056,Upper tier local authority,01/04/2020,14,136
Camden,E09000007,Upper tier local authority,01/04/2020,19,264
Cambridgeshire,E10000003,Upper tier local authority,01/04/2020,13,214
Calderdale,E08000033,Upper tier local authority,01/04/2020,6,63
Bury,E08000002,Upper tier local authority,01/04/2020,16,116
Buckinghamshire,E10000002,Upper tier local authority,01/04/2020,19,266
Bromley,E09000006,Upper tier local authority,01/04/2020,49,461
Bristol City of,E06000023,Upper tier local authority,01/04/2020,17,168
Brighton and Hove,E06000043,Upper tier local authority,01/04/2020,19,113
Brent,E09000005,Upper tier local authority,01/04/2020,55,644
Bradford,E08000032,Upper tier local authority,01/04/2020,21,171
Bracknell Forest,E06000036,Upper tier local authority,01/04/2020,10,56
Bournemouth Christchurch and Poole,E06000058,Upper tier local authority,01/04/2020,15,92
Bolton,E08000001,Upper tier local authority,01/04/2020,25,127
Blackpool,E06000009,Upper tier local authority,01/04/2020,5,49
Blackburn with Darwen,E06000008,Upper tier local authority,01/04/2020,8,54
Birmingham,E08000025,Upper tier local authority,01/04/2020,108,1171
Bexley,E09000004,Upper tier local authority,01/04/2020,29,230
Bedford,E06000055,Upper tier local authority,01/04/2020,11,101
Bath and North East Somerset,E06000022,Upper tier local authority,01/04/2020,5,57
Barnsley,E08000016,Upper tier local authority,01/04/2020,26,205
Barnet,E09000003,Upper tier local authority,01/04/2020,37,587
Barking and Dagenham,E09000002,Upper tier local authority,01/04/2020,21,185
Yorkshire and The Humber,E12000003,Region,01/04/2020,298,2627
West Midlands,E12000005,Region,01/04/2020,411,4258
South West,E12000009,Region,01/04/2020,183,1568
South East,E12000008,Region,01/04/2020,546,4824
North West,E12000002,Region,01/04/2020,615,4550
North East,E12000001,Region,01/04/2020,306,1478
London,E12000007,Region,01/04/2020,960,11057
East of England,E12000006,Region,01/04/2020,330,2947
East Midlands,E12000004,Region,01/04/2020,296,2292
England,E92000001,Nation,01/04/2020,4073,36738
York,E06000014,Upper tier local authority,31/03/2020,5,39
Worcestershire,E10000034,Upper tier local authority,31/03/2020,37,321
Wolverhampton,E08000031,Upper tier local authority,31/03/2020,23,260
Wokingham,E06000041,Upper tier local authority,31/03/2020,8,86
Wirral,E08000015,Upper tier local authority,31/03/2020,16,139
Windsor and Maidenhead,E06000040,Upper tier local authority,31/03/2020,7,90
Wiltshire,E06000054,Upper tier local authority,31/03/2020,10,118
Wigan,E08000010,Upper tier local authority,31/03/2020,24,123
Westminster,E09000033,Upper tier local authority,31/03/2020,12,325
West Sussex,E10000032,Upper tier local authority,31/03/2020,32,268
West Berkshire,E06000037,Upper tier local authority,31/03/2020,4,73
Warwickshire,E10000031,Upper tier local authority,31/03/2020,20,307
Warrington,E06000007,Upper tier local authority,31/03/2020,19,87
Wandsworth,E09000032,Upper tier local authority,31/03/2020,41,456
Waltham Forest,E09000031,Upper tier local authority,31/03/2020,36,292
Walsall,E08000030,Upper tier local authority,31/03/2020,30,273
Wakefield,E08000036,Upper tier local authority,31/03/2020,16,116
Trafford,E08000009,Upper tier local authority,31/03/2020,13,146
Tower Hamlets,E09000030,Upper tier local authority,31/03/2020,25,261
Torbay,E06000027,Upper tier local authority,31/03/2020,7,49
Thurrock,E06000034,Upper tier local authority,31/03/2020,10,93
Telford and Wrekin,E06000020,Upper tier local authority,31/03/2020,6,67
Tameside,E08000008,Upper tier local authority,31/03/2020,18,116
Swindon,E06000030,Upper tier local authority,31/03/2020,4,46
Sutton,E09000029,Upper tier local authority,31/03/2020,19,211
Surrey,E10000030,Upper tier local authority,31/03/2020,64,759
Sunderland,E08000024,Upper tier local authority,31/03/2020,46,163
Suffolk,E10000029,Upper tier local authority,31/03/2020,26,190
Stoke-on-Trent,E06000021,Upper tier local authority,31/03/2020,3,71
Stockton-on-Tees,E06000004,Upper tier local authority,31/03/2020,8,72
Stockport,E08000007,Upper tier local authority,31/03/2020,18,160
Staffordshire,E10000028,Upper tier local authority,31/03/2020,41,419
St. Helens,E08000013,Upper tier local authority,31/03/2020,18,137
Southwark,E09000028,Upper tier local authority,31/03/2020,34,545
Southend-on-Sea,E06000033,Upper tier local authority,31/03/2020,15,87
Southampton,E06000045,Upper tier local authority,31/03/2020,20,126
South Tyneside,E08000023,Upper tier local authority,31/03/2020,13,60
South Gloucestershire,E06000025,Upper tier local authority,31/03/2020,11,102
Somerset,E10000027,Upper tier local authority,31/03/2020,8,78
Solihull,E08000029,Upper tier local authority,31/03/2020,17,168
Slough,E06000039,Upper tier local authority,31/03/2020,6,129
Shropshire,E06000051,Upper tier local authority,31/03/2020,9,125
Sheffield,E08000019,Upper tier local authority,31/03/2020,110,766
Sefton,E08000014,Upper tier local authority,31/03/2020,33,156
Sandwell,E08000028,Upper tier local authority,31/03/2020,35,279
Salford,E08000006,Upper tier local authority,31/03/2020,29,191
Rutland,E06000017,Upper tier local authority,31/03/2020,2,6
Rotherham,E08000018,Upper tier local authority,31/03/2020,29,184
Rochdale,E08000005,Upper tier local authority,31/03/2020,19,127
Richmond upon Thames,E09000027,Upper tier local authority,31/03/2020,16,176
Redcar and Cleveland,E06000003,Upper tier local authority,31/03/2020,8,63
Redbridge,E09000026,Upper tier local authority,31/03/2020,26,241
Reading,E06000038,Upper tier local authority,31/03/2020,5,82
Portsmouth,E06000044,Upper tier local authority,31/03/2020,1,85
Plymouth,E06000026,Upper tier local authority,31/03/2020,2,58
Peterborough,E06000031,Upper tier local authority,31/03/2020,4,50
Oxfordshire,E10000025,Upper tier local authority,31/03/2020,51,330
Oldham,E08000004,Upper tier local authority,31/03/2020,13,151
Nottinghamshire,E10000024,Upper tier local authority,31/03/2020,40,334
Nottingham,E06000018,Upper tier local authority,31/03/2020,14,133
Northumberland,E06000057,Upper tier local authority,31/03/2020,17,95
Northamptonshire,E10000021,Upper tier local authority,31/03/2020,48,312
North Yorkshire,E10000023,Upper tier local authority,31/03/2020,19,184
North Tyneside,E08000022,Upper tier local authority,31/03/2020,19,94
North Somerset,E06000024,Upper tier local authority,31/03/2020,4,55
North Lincolnshire,E06000013,Upper tier local authority,31/03/2020,8,34
North East Lincolnshire,E06000012,Upper tier local authority,31/03/2020,2,31
Norfolk,E10000020,Upper tier local authority,31/03/2020,25,230
Newham,E09000025,Upper tier local authority,31/03/2020,44,370
Newcastle upon Tyne,E08000021,Upper tier local authority,31/03/2020,34,240
Milton Keynes,E06000042,Upper tier local authority,31/03/2020,17,149
Middlesbrough,E06000002,Upper tier local authority,31/03/2020,15,87
Merton,E09000024,Upper tier local authority,31/03/2020,28,275
Medway,E06000035,Upper tier local authority,31/03/2020,17,136
Manchester,E08000003,Upper tier local authority,31/03/2020,33,228
Luton,E06000032,Upper tier local authority,31/03/2020,26,151
Liverpool,E08000012,Upper tier local authority,31/03/2020,41,347
Lincolnshire,E10000019,Upper tier local authority,31/03/2020,26,197
Lewisham,E09000023,Upper tier local authority,31/03/2020,38,358
Leicestershire,E10000018,Upper tier local authority,31/03/2020,44,252
Leicester,E06000016,Upper tier local authority,31/03/2020,27,134
Leeds,E08000035,Upper tier local authority,31/03/2020,24,237
Lancashire,E10000017,Upper tier local authority,31/03/2020,87,567
Lambeth,E09000022,Upper tier local authority,31/03/2020,40,549
Knowsley,E08000011,Upper tier local authority,31/03/2020,13,97
Kirklees,E08000034,Upper tier local authority,31/03/2020,19,127
Kingston upon Thames,E09000021,Upper tier local authority,31/03/2020,12,151
Kingston upon Hull City of,E06000010,Upper tier local authority,31/03/2020,2,21
Kent,E10000016,Upper tier local authority,31/03/2020,93,637
Kensington and Chelsea,E09000020,Upper tier local authority,31/03/2020,18,227
Islington,E09000019,Upper tier local authority,31/03/2020,16,210
Isle of Wight,E06000046,Upper tier local authority,31/03/2020,1,19
Hounslow,E09000018,Upper tier local authority,31/03/2020,22,255
Hillingdon,E09000017,Upper tier local authority,31/03/2020,33,275
Hertfordshire,E10000015,Upper tier local authority,31/03/2020,77,705
Herefordshire County of,E06000019,Upper tier local authority,31/03/2020,9,49
Havering,E09000016,Upper tier local authority,31/03/2020,26,176
Hartlepool,E06000001,Upper tier local authority,31/03/2020,3,20
Harrow,E09000015,Upper tier local authority,31/03/2020,27,395
Haringey,E09000014,Upper tier local authority,31/03/2020,18,237
Hampshire,E10000014,Upper tier local authority,31/03/2020,78,778
