Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
Kent,E10000016,Upper tier local authority,05/04/2020,72,1061
Kensington and Chelsea,E09000020,Upper tier local authority,05/04/2020,6,291
Islington,E09000019,Upper tier local authority,05/04/2020,4,280
Isle of Wight,E06000046,Upper tier local authority,05/04/2020,2,33
Hounslow,E09000018,Upper tier local authority,05/04/2020,19,379
Hillingdon,E09000017,Upper tier local authority,05/04/2020,16,391
Hertfordshire,E10000015,Upper tier local authority,05/04/2020,62,1082
Herefordshire,E06000019,Upper tier local authority,05/04/2020,4,72
Havering,E09000016,Upper tier local authority,05/04/2020,20,308
Hartlepool,E06000001,Upper tier local authority,05/04/2020,3,39
Harrow,E09000015,Upper tier local authority,05/04/2020,26,522
Haringey,E09000014,Upper tier local authority,05/04/2020,8,337
Hampshire,E10000014,Upper tier local authority,05/04/2020,74,1172
Hammersmith and Fulham,E09000013,Upper tier local authority,05/04/2020,10,305
Halton,E06000006,Upper tier local authority,05/04/2020,15,124
Hackney,E09000012,Upper tier local authority,05/04/2020,20,392
Greenwich,E09000011,Upper tier local authority,05/04/2020,21,360
Gloucestershire,E10000013,Upper tier local authority,05/04/2020,31,410
Gateshead,E08000037,Upper tier local authority,05/04/2020,20,228
Essex,E10000012,Upper tier local authority,05/04/2020,53,1137
Enfield,E09000010,Upper tier local authority,05/04/2020,12,399
East Sussex,E10000011,Upper tier local authority,05/04/2020,12,227
East Riding of Yorkshire,E06000011,Upper tier local authority,05/04/2020,10,129
Ealing,E09000009,Upper tier local authority,05/04/2020,14,558
Dudley,E08000027,Upper tier local authority,05/04/2020,20,349
Dorset,E06000059,Upper tier local authority,05/04/2020,6,135
Devon,E10000008,Upper tier local authority,05/04/2020,20,271
Derbyshire,E10000007,Upper tier local authority,05/04/2020,8,570
Derby,E06000015,Upper tier local authority,05/04/2020,2,301
Darlington,E06000005,Upper tier local authority,05/04/2020,2,55
Cumbria,E10000006,Upper tier local authority,05/04/2020,79,874
Croydon,E09000008,Upper tier local authority,05/04/2020,36,778
Coventry,E08000026,Upper tier local authority,05/04/2020,10,305
County Durham,E06000047,Upper tier local authority,05/04/2020,26,330
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,05/04/2020,11,208
Cheshire West and Chester,E06000050,Upper tier local authority,05/04/2020,32,282
Cheshire East,E06000049,Upper tier local authority,05/04/2020,27,247
Central Bedfordshire,E06000056,Upper tier local authority,05/04/2020,16,201
Camden,E09000007,Upper tier local authority,05/04/2020,16,346
Cambridgeshire,E10000003,Upper tier local authority,05/04/2020,26,298
Calderdale,E08000033,Upper tier local authority,05/04/2020,3,97
Bury,E08000002,Upper tier local authority,05/04/2020,15,168
Buckinghamshire,E10000002,Upper tier local authority,05/04/2020,13,356
Bromley,E09000006,Upper tier local authority,05/04/2020,26,587
Bristol,E06000023,Upper tier local authority,05/04/2020,14,227
Brighton and Hove,E06000043,Upper tier local authority,05/04/2020,11,160
Brent,E09000005,Upper tier local authority,05/04/2020,37,844
Bradford,E08000032,Upper tier local authority,05/04/2020,28,263
Bracknell Forest,E06000036,Upper tier local authority,05/04/2020,4,80
Bournemouth,E06000058,Upper tier local authority,05/04/2020,12,135
Bolton,E08000001,Upper tier local authority,05/04/2020,15,217
Blackpool,E06000009,Upper tier local authority,05/04/2020,3,92
Blackburn with Darwen,E06000008,Upper tier local authority,05/04/2020,8,93
Birmingham,E08000025,Upper tier local authority,05/04/2020,70,1505
Bexley,E09000004,Upper tier local authority,05/04/2020,18,312
Bedford,E06000055,Upper tier local authority,05/04/2020,5,143
Bath and North East Somerset,E06000022,Upper tier local authority,05/04/2020,5,71
Barnsley,E08000016,Upper tier local authority,05/04/2020,2,242
Barnet,E09000003,Upper tier local authority,05/04/2020,40,768
Barking and Dagenham,E09000002,Upper tier local authority,05/04/2020,16,244
Yorkshire and The Humber,E12000003,Region,05/04/2020,219,3584
West Midlands,E12000005,Region,05/04/2020,268,5678
South West,E12000009,Region,05/04/2020,154,2264
South East,E12000008,Region,05/04/2020,423,6688
North West,E12000002,Region,05/04/2020,614,7130
North East,E12000001,Region,05/04/2020,221,2429
London,E12000007,Region,05/04/2020,603,14334
East of England,E12000006,Region,05/04/2020,280,4200
East Midlands,E12000004,Region,05/04/2020,148,3100
England,E92000001,Nation,05/04/2020,3019,51122
York,E06000014,Upper tier local authority,04/04/2020,4,74
Worcestershire,E10000034,Upper tier local authority,04/04/2020,16,438
Wolverhampton,E08000031,Upper tier local authority,04/04/2020,20,327
Wokingham,E06000041,Upper tier local authority,04/04/2020,9,119
Wirral,E08000015,Upper tier local authority,04/04/2020,42,295
Windsor and Maidenhead,E06000040,Upper tier local authority,04/04/2020,9,116
Wiltshire,E06000054,Upper tier local authority,04/04/2020,9,162
Wigan,E08000010,Upper tier local authority,04/04/2020,14,198
Westminster,E09000033,Upper tier local authority,04/04/2020,16,403
West Sussex,E10000032,Upper tier local authority,04/04/2020,33,399
West Berkshire,E06000037,Upper tier local authority,04/04/2020,13,114
Warwickshire,E10000031,Upper tier local authority,04/04/2020,35,462
Warrington,E06000007,Upper tier local authority,04/04/2020,16,161
Wandsworth,E09000032,Upper tier local authority,04/04/2020,26,584
Waltham Forest,E09000031,Upper tier local authority,04/04/2020,21,395
Walsall,E08000030,Upper tier local authority,04/04/2020,26,410
Wakefield,E08000036,Upper tier local authority,04/04/2020,11,189
Trafford,E08000009,Upper tier local authority,04/04/2020,16,243
Tower Hamlets,E09000030,Upper tier local authority,04/04/2020,20,365
Torbay,E06000027,Upper tier local authority,04/04/2020,4,58
Thurrock,E06000034,Upper tier local authority,04/04/2020,8,133
Telford and Wrekin,E06000020,Upper tier local authority,04/04/2020,7,92
Tameside,E08000008,Upper tier local authority,04/04/2020,15,177
Swindon,E06000030,Upper tier local authority,04/04/2020,12,85
Sutton,E09000029,Upper tier local authority,04/04/2020,6,303
Surrey,E10000030,Upper tier local authority,04/04/2020,69,1053
Sunderland,E08000024,Upper tier local authority,04/04/2020,46,337
Suffolk,E10000029,Upper tier local authority,04/04/2020,19,289
Stoke-on-Trent,E06000021,Upper tier local authority,04/04/2020,6,114
Stockton-on-Tees,E06000004,Upper tier local authority,04/04/2020,12,125
Stockport,E08000007,Upper tier local authority,04/04/2020,26,278
Staffordshire,E10000028,Upper tier local authority,04/04/2020,42,620
St. Helens,E08000013,Upper tier local authority,04/04/2020,30,251
Southwark,E09000028,Upper tier local authority,04/04/2020,37,725
Southend-on-Sea,E06000033,Upper tier local authority,04/04/2020,15,150
Southampton,E06000045,Upper tier local authority,04/04/2020,12,178
South Tyneside,E08000023,Upper tier local authority,04/04/2020,12,111
South Gloucestershire,E06000025,Upper tier local authority,04/04/2020,9,136
Somerset,E10000027,Upper tier local authority,04/04/2020,6,126
Solihull,E08000029,Upper tier local authority,04/04/2020,23,251
Slough,E06000039,Upper tier local authority,04/04/2020,14,167
Shropshire,E06000051,Upper tier local authority,04/04/2020,8,173
Sheffield,E08000019,Upper tier local authority,04/04/2020,42,967
Sefton,E08000014,Upper tier local authority,04/04/2020,33,293
Sandwell,E08000028,Upper tier local authority,04/04/2020,19,396
Salford,E08000006,Upper tier local authority,04/04/2020,16,258
Rotherham,E08000018,Upper tier local authority,04/04/2020,11,250
Rochdale,E08000005,Upper tier local authority,04/04/2020,17,185
Richmond upon Thames,E09000027,Upper tier local authority,04/04/2020,8,222
Redcar and Cleveland,E06000003,Upper tier local authority,04/04/2020,13,111
Redbridge,E09000026,Upper tier local authority,04/04/2020,24,335
Reading,E06000038,Upper tier local authority,04/04/2020,14,126
Portsmouth,E06000044,Upper tier local authority,04/04/2020,6,112
Plymouth,E06000026,Upper tier local authority,04/04/2020,10,102
Peterborough,E06000031,Upper tier local authority,04/04/2020,4,75
Oxfordshire,E10000025,Upper tier local authority,04/04/2020,39,551
Oldham,E08000004,Upper tier local authority,04/04/2020,13,229
Nottinghamshire,E10000024,Upper tier local authority,04/04/2020,27,475
Nottingham,E06000018,Upper tier local authority,04/04/2020,15,200
Northumberland,E06000057,Upper tier local authority,04/04/2020,25,206
Northamptonshire,E10000021,Upper tier local authority,04/04/2020,42,515
North Yorkshire,E10000023,Upper tier local authority,04/04/2020,27,294
North Tyneside,E08000022,Upper tier local authority,04/04/2020,24,180
North Somerset,E06000024,Upper tier local authority,04/04/2020,6,83
North Lincolnshire,E06000013,Upper tier local authority,04/04/2020,4,63
